model,freeze_fraction,data_split,best_val_acc,final_train_acc,final_val_acc,wall_time_seconds,trainable_params,total_params
resnet50,0.0,0.25,0.929375,0.9992857142857143,0.92125,447.0774874687195,23516228,23516228
resnet50,0.25,0.25,0.935,0.9992857142857143,0.9325,407.8806662559509,23110148,23516228
resnet50,0.5,0.25,0.93125,0.9957142857142857,0.920625,395.24725461006165,21087236,23516228
resnet50,0.75,0.25,0.915625,0.9957142857142857,0.915,384.8839907646179,16091140,23516228
resnet50,1.0,0.25,0.750625,0.7785714285714286,0.74125,370.30033922195435,8196,23516228
resnet50,0.0,0.5,0.948125,0.9996428571428572,0.945625,666.0750057697296,23516228,23516228
resnet50,0.25,0.5,0.9525,0.9978571428571429,0.946875,625.5609879493713,23110148,23516228
resnet50,0.5,0.5,0.945,0.9982142857142857,0.94125,600.946691274643,21087236,23516228
resnet50,0.75,0.5,0.928125,0.9978571428571429,0.926875,580.4169375896454,16091140,23516228
resnet50,1.0,0.5,0.758125,0.8264285714285714,0.756875,557.869063615799,8196,23516228
resnet50,0.0,1.0,0.956875,0.9991071428571429,0.953125,1130.5597047805786,23516228,23516228
resnet50,0.25,1.0,0.9575,0.9991071428571429,0.95625,1049.1254830360413,23110148,23516228
resnet50,0.5,1.0,0.959375,0.9991071428571429,0.9575,1024.2783608436584,21087236,23516228
resnet50,0.75,1.0,0.9525,0.9976785714285714,0.951875,997.2498519420624,16091140,23516228
resnet50,1.0,1.0,0.778125,0.84,0.776875,959.8915984630585,8196,23516228
efficientnet_b3,0.0,0.25,0.920625,0.9892857142857143,0.920625,425.08499908447266,10702380,10702380
efficientnet_b3,0.25,0.25,0.924375,0.99,0.924375,391.6480278968811,10596202,10702380
efficientnet_b3,0.5,0.25,0.915625,0.9842857142857143,0.91,384.7768316268921,9843538,10702380
efficientnet_b3,0.75,0.25,0.88875,0.955,0.885625,373.77594232559204,7606630,10702380
efficientnet_b3,1.0,0.25,0.74625,0.7564285714285715,0.738125,366.2085225582123,6148,10702380
efficientnet_b3,0.0,0.5,0.94125,0.9957142857142857,0.935625,653.1766192913055,10702380,10702380
efficientnet_b3,0.25,0.5,0.940625,0.9942857142857143,0.940625,606.1665525436401,10596202,10702380
efficientnet_b3,0.5,0.5,0.935625,0.9907142857142858,0.931875,595.5896809101105,9843538,10702380
efficientnet_b3,0.75,0.5,0.921875,0.9796428571428571,0.921875,569.3633553981781,7606630,10702380
efficientnet_b3,1.0,0.5,0.7775,0.7978571428571428,0.76625,566.5453701019287,6148,10702380
efficientnet_b3,0.0,1.0,0.95625,0.9982142857142857,0.954375,1139.5898203849792,10702380,10702380
efficientnet_b3,0.25,1.0,0.95875,0.9966071428571428,0.958125,1037.5931148529053,10596202,10702380
efficientnet_b3,0.5,1.0,0.95625,0.9946428571428572,0.955625,1038.7076063156128,9843538,10702380
efficientnet_b3,0.75,1.0,0.951875,0.9846428571428572,0.951875,1007.5288636684418,7606630,10702380
efficientnet_b3,1.0,1.0,0.793125,0.8219642857142857,0.790625,974.5934119224548,6148,10702380
